date,barbican,golden_lane,city_of_london_flats,london_flats,england_flats
1997-03-10,165000,,,,
1998-02-09,141000,,,,
2010-11-25,292000,,,,
2023-08-04,1800000,,,,
2018-07-27,1800000,,,,
2003-12-08,490000,,,,
1997-01-08,162000,,,,
2018-12-03,1180000,,,,
2005-02-07,631000,,,,
2023-09-15,785000,,,,
2018-04-06,690500,,,,
2018-08-06,835000,,,,
2013-09-19,795000,,,,
2010-11-26,465000,,,,
2009-03-19,260000,,,,
1998-11-27,95000,,,,
2012-03-16,270000,,,,
1999-07-09,150000,,,,
2009-10-23,862000,,,,
2004-04-15,515000,,,,
2022-09-29,725000,,,,
2014-11-14,765000,,,,
2001-05-17,210000,,,,
2003-06-20,475000,,,,
1998-03-11,235000,,,,
2014-01-21,365000,,,,
2001-08-31,127500,,,,
2023-07-10,1495000,,,,
1998-10-23,310000,,,,
1996-10-04,225000,,,,
1997-09-20,175000,,,,
2023-12-07,725675,,,,
2017-01-27,765000,,,,
2004-09-17,292500,,,,
2000-03-11,120000,,,,
1995-01-30,95000,,,,
2007-03-19,277000,,,,
2000-06-30,137500,,,,
2003-07-16,170000,,,,
2002-09-09,175000,,,,
2000-10-13,127000,,,,
2017-10-06,1950000,,,,
2005-04-04,572000,,,,
1995-03-20,75000,,,,
2024-01-16,1148000,,,,
2013-05-09,595000,,,,
2023-01-10,395000,,,,
2002-04-09,152500,,,,
1999-10-29,99000,,,,
2014-05-02,810000,,,,
1995-12-01,115000,,,,
2016-09-19,800000,,,,
2011-07-01,495000,,,,
2005-06-07,310000,,,,
2010-12-14,1750000,,,,
2003-10-10,1150000,,,,
1996-11-20,525000,,,,
2023-03-03,517000,,,,
2018-07-06,510000,,,,
2011-02-18,330000,,,,
2006-02-09,225000,,,,
2023-12-14,1365000,,,,
2020-05-15,950000,,,,
2006-07-24,525000,,,,
2005-11-30,450000,,,,
2004-10-04,360000,,,,
2003-12-19,290000,,,,
2021-11-17,900000,,,,
2002-08-20,318000,,,,
2012-08-10,293000,,,,
1999-09-28,89000,,,,
2013-06-07,915000,,,,
2013-05-30,1200000,,,,
2015-05-01,870000,,,,
2006-04-04,415000,,,,
2001-01-11,230000,,,,
2012-02-17,530000,,,,
2024-05-17,900000,,,,
2016-07-22,850000,,,,
2002-03-06,185000,,,,
2014-08-22,1800000,,,,
2000-11-24,385000,,,,
2012-11-07,1020000,,,,
2003-04-23,455000,,,,
2002-02-28,440000,,,,
2018-05-18,415000,,,,
2000-12-22,458000,,,,
1997-04-15,150000,,,,
2024-05-17,1800000,,,,
2012-11-30,699950,,,,
2002-12-13,320000,,,,
2001-07-13,265000,,,,
2023-07-13,875000,,,,
2006-09-01,495000,,,,
1995-12-14,114000,,,,
2011-03-08,530000,,,,
2009-09-25,472500,,,,
2008-01-25,487500,,,,
1997-08-05,125000,,,,
2001-01-26,235000,,,,
2015-06-19,1750000,,,,
2004-08-12,532500,,,,
2000-02-10,400000,,,,
1999-03-31,290000,,,,
1997-10-22,220000,,,,
2021-06-30,1574000,,,,
2018-11-16,716000,,,,
1999-01-29,128000,,,,
2010-06-18,359950,,,,
2002-04-12,200000,,,,
2000-05-26,137500,,,,
2021-06-30,930000,,,,
2007-10-26,650000,,,,
2006-10-12,460000,,,,
2017-08-17,1125000,,,,
2007-02-16,500000,,,,
2017-04-06,395000,,,,
2010-07-29,325000,,,,
2000-02-22,135000,,,,
1998-06-08,109000,,,,
2004-09-29,595000,,,,
2002-04-26,377500,,,,
1999-07-30,243000,,,,
1999-09-06,197500,,,,
2018-05-25,925000,,,,
2018-02-21,480000,,,,
2023-04-14,1255000,,,,
2014-02-14,905000,,,,
1999-02-10,175000,,,,
1998-06-12,270000,,,,
2015-09-15,1400000,,,,
1999-03-08,215000,,,,
2004-04-26,324000,,,,
1999-10-07,202500,,,,
2015-07-17,750000,,,,
2002-04-29,535000,,,,
1998-10-16,150000,,,,
2020-01-06,495000,,,,
2014-01-14,437600,,,,
2003-08-22,194000,,,,
1998-07-30,90000,,,,
2015-12-09,1150000,,,,
2006-07-27,495000,,,,
2005-02-11,310000,,,,
2009-12-02,650000,,,,
2005-04-08,390000,,,,
1999-04-01,165000,,,,
2000-01-17,385000,,,,
1998-05-19,265000,,,,
2004-10-18,195000,,,,
2018-02-09,863500,,,,
2011-12-16,580000,,,,
2009-07-20,440000,,,,
