date,"FLAT 30, BASTERFIELD HOUSE","FLAT 24, BASTERFIELD HOUSE","FLAT 334, CRESCENT HOUSE","FLAT 18, BASTERFIELD HOUSE","FLAT 3, BAYER HOUSE","City of London, all sales average","City of London, flats average","London, all sales average","London, flats average","England, all sales average","England, flats average"
2008-04-01,,,,,,,381692,,,,
2000-01-01,,,,,,,173293,,,,
2012-02-01,,,,,,,508827,,,,
2012-07-01,,,,,,,541133,,,,
2017-04-01,,,,,,,903552,,,,
2017-09-01,,,,,,,834409,,,,
2022-08-01,,,,,,,917214,,,,
1999-03-01,,,,,,,174173,,,,
2024-09-01,,,,,,,716487,,,,
2004-12-01,,,,,,,330494,,,,
2008-09-01,,,,,,,465011,,,,
2016-06-01,,,,,,,904917,,,,
1998-10-01,,,,,,,161634,,,,
2022-01-01,,,,,,,1030006,,,,
2022-11-01,,,,,,,924204,,,,
2004-04-01,,,,,,,268968,,,,
2019-11-01,,,,,,,769589,,,,
2023-05-01,,,,,,,909025,,,,
1998-04-01,,,,,,,163027,,,,
2002-11-01,,,,,,,279692,,,,
2003-01-01,,,,,,,261112,,,,
2004-09-01,,,,,,,304491,,,,
2005-04-01,,,,,,,316735,,,,
2020-09-01,,,,,,,797899,,,,
1999-09-01,,,,,,,165743,,,,
2010-03-01,,,,,,,496797,,,,
1998-02-01,,,,,,,143492,,,,
2010-10-01,,,,,,,454551,,,,
1998-01-01,,,,,,,124067,,,,
2005-07-01,,,,,,,283048,,,,
2013-03-01,,,,,,,526032,,,,
2015-02-01,,,,,,,757950,,,,
2016-08-01,,,,,,,845393,,,,
2018-02-01,,,,,,,780669,,,,
2018-01-01,,,,,,,799677,,,,
2023-03-01,,,,,,,869893,,,,
2023-09-01,,,,,,,903756,,,,
2002-02-01,,,,,,,283419,,,,
2019-09-01,,,,,,,800830,,,,
2010-06-01,,,,,,,426843,,,,
2009-09-01,,,,,,,390083,,,,
2016-05-01,,,,,,,842699,,,,
2018-06-01,,,,,,,786370,,,,
2002-01-01,,,,,,,343499,,,,
2006-10-01,,,,,,,364372,,,,
2020-02-01,,,,,,,796768,,,,
2012-06-01,,,,,,,540631,,,,
2014-03-01,,,,,,,652381,,,,
2015-06-01,,,,,,,773879,,,,
2018-04-01,,,,,,,729692,,,,
2019-06-01,,,,,,,758737,,,,
2022-04-01,,,,,,,910119,,,,
2024-08-01,,,,,,,747115,,,,
2002-04-01,,,,,,,244803,,,,
2002-12-01,,,,,,,261662,,,,
2010-07-01,,,,,,,418888,,,,
2015-08-01,,,,,,,757607,,,,
2019-04-01,,,,,,,736430,,,,
2010-11-01,,,,,,,428912,,,,
2003-09-01,,,,,,,242688,,,,
1998-09-01,,,,,,,152443,,,,
2013-11-01,,,,,,,544877,,,,
2014-02-01,,,,,,,646126,,,,
2013-09-01,,,,,,,527708,,,,
2022-12-01,,,,,,,894053,,,,
2020-10-01,,,,,,,821580,,,,
1999-10-01,,,,,,,163064,,,,
2008-11-01,,,,,,,395245,,,,
2023-02-01,,,,,,,809712,,,,
2023-08-01,,,,,,,958318,,,,
2020-04-01,,,,,,,915005,,,,
2015-05-01,,,,,,,760259,,,,
2011-02-01,,,,,,,502463,,,,
1998-08-01,,,,,,,148647,,,,
2008-01-01,,,,,,,470770,,,,
2013-08-01,,,,,,,643491,,,,
2003-03-01,,,,,,,291373,,,,
2006-06-01,,,,,,,304305,,,,
1999-02-01,,,,,,,164170,,,,
1998-11-01,,,,,,,152027,,,,
2002-06-01,,,,,,,252612,,,,
2003-04-01,,,,,,,294578,,,,
2007-03-01,,,,,,,402236,,,,
2014-07-01,,,,,,,721791,,,,
2012-10-01,,,,,,,519919,,,,
2015-07-01,,,,,,,776431,,,,
2021-01-01,,,,,,,751557,,,,
2021-05-01,,,,,,,729398,,,,
2014-05-01,,,,,,,680339,,,,
1999-05-01,,,,,,,190597,,,,
2004-11-01,,,,,,,332400,,,,
2023-11-01,,,,,,,859433,,,,
2024-02-01,,,,,,,836683,,,,
2024-06-01,,,,,,,804816,,,,
2006-02-01,,,,,,,322963,,,,
2022-07-01,,,,,,,876144,,,,
2009-07-01,,,,,,,378113,,,,
2010-12-01,,,,,,,443620,,,,
2022-03-01,,,,,,,885722,,,,
2018-11-01,,,,,,,761851,,,,
2005-05-01,,,,,,,310791,,,,
2021-02-01,,,,,,,710700,,,,
2022-06-01,,,,,,,881953,,,,
2007-11-01,,,,,,,449784,,,,
2008-05-01,,,,,,,388837,,,,
2006-09-01,,,,,,,376667,,,,
2003-05-01,,,,,,,284286,,,,
2011-01-01,,,,,,,441017,,,,
2001-10-01,,,,,,,263283,,,,
2011-09-01,,,,,,,434590,,,,
2019-07-01,,,,,,,752950,,,,
2023-06-01,,,,,,,978216,,,,
1999-01-01,,,,,,,148807,,,,
2001-01-01,,,,,,,283588,,,,
1999-11-01,,,,,,,174699,,,,
2009-06-01,,,,,,,347864,,,,
2016-11-01,,,,,,,815993,,,,
2000-11-01,,,,,,,320986,,,,
2009-03-01,,,,,,,398288,,,,
2016-12-01,,,,,,,809150,,,,
2017-01-01,,,,,,,817654,,,,
2019-05-01,,,,,,,717240,,,,
2022-02-01,,,,,,,959272,,,,
2022-09-01,,,,,,,906672,,,,
2007-02-01,,,,,,,398529,,,,
2001-02-01,,,,,,,197675,,,,
2006-08-01,,,,,,,357615,,,,
2008-07-01,,,,,,,441335,,,,
2002-10-01,,,,,,,271369,,,,
2020-06-01,,,,,,,868250,,,,
2006-01-01,,,,,,,315461,,,,
2016-03-01,,,,,,,791975,,,,
2012-09-01,,,,,,,524102,,,,
2001-12-01,,,,,,,361420,,,,
2015-04-01,,,,,,,726682,,,,
2020-08-01,,,,,,,825164,,,,
2017-12-01,,,,,,,775722,,,,
2016-09-01,,,,,,,777892,,,,
2004-06-01,,,,,,,296812,,,,
2017-03-01,,,,,,,851416,,,,
2018-09-01,,,,,,,797968,,,,
2014-09-01,,,,,,,751066,,,,
2023-10-01,,,,,,,873306,,,,
2001-03-01,,,,,,,188592,,,,
2007-06-01,,,,,,,435063,,,,
2019-01-01,,,,,,,862529,,,,
2004-05-01,,,,,,,279493,,,,
2023-04-01,,,,,,,835938,,,,
2021-12-01,,,,,,,1002903,,,,
2024-07-01,,,,,,,751740,,,,
2006-05-01,,,,,,,312426,,,,
2008-10-01,,,,,,,439001,,,,
2003-12-01,,,,,,,304960,,,,
2010-01-01,,,,,,,463135,,,,
2007-09-01,,,,,,,462426,,,,
2013-04-01,,,,,,,588616,,,,
2014-01-01,,,,,,,622833,,,,
2018-05-01,,,,,,,793436,,,,
